geoid10,landareasqm,waterareasqm,intptlat10,intptlon10,historicalgrizzlyrange,disttocurrentgrizzlyrangem,dev_share,crop_share,pasture_share,gasslands_share,startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q_recaptchascore,q_ballotboxstuffing,state,q27,q29,q1,q2,q3,q35,q54_1,q54_2,q54_3,q28_1,q28_2,q28_3,q3645,q20,q32,q21,q22,q23,q25,q24,q26,q3654,q30,q31,q34,opp,transaction_id,svid,rid,risn,gc,term,region,ls,ps
1105,3219039,306958,42.099957,-72.580765,0,2910022,.75,0,0,0,2023-05-30T08:10:38Z,2023-05-30T08:13:26Z,IP Address,71.192.133.60,100,167,TRUE,2023-05-30T08:13:27Z,R_1pzzQhuLGAo75es,NA,NA,NA,NA,42.130001,-72.580399,anonymous,EN,1,NA,Massachusetts,25 to 34 years,Male,Slightly important,Slightly informed,Informed,NA,1,5+,4,4,Unlimited (never remove),2,Increase (more lenient) thresholds,6 to 10 times,Agree,1 to 5 times,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Conservative,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],2lD6Y9qGyrkyPJxsxGgFv6,15954811,NA,NA,1,NA,National,{Invalid Expression},696
1201,137107236,6748010,42.448235,-73.273727,0,2843625,.25999999,0,.039999999,.0099999998,2023-05-30T13:14:22Z,2023-05-30T13:16:49Z,IP Address,24.194.75.91,100,146,TRUE,2023-05-30T13:16:50Z,R_2SqxnqP8oUiZab0,NA,NA,NA,NA,42.450901,-73.249496,anonymous,EN,1,NA,Massachusetts,25 to 34 years,Male,Very important,Slightly informed,Not informed at all,NA,5+,5+,1,2,4,5+,Increase (more lenient) thresholds,1 to 5 times,Agree,No visits in past five years,Encountered bear from unsafe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Liberal,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],1pKGCeaNplM5jF3m0BhWrg,15905568,NA,NA,1,NA,National,{Invalid Expression},593
1301,66030223,1401115,42.626762,-72.601532,0,2891146,.28,.0099999998,.059999999,0,2023-05-30T08:47:33Z,2023-05-30T08:58:56Z,IP Address,174.192.10.58,100,682,TRUE,2023-05-30T08:58:57Z,R_XRtyoK8ep414BWN,NA,NA,NA,NA,41.5382,-72.800797,anonymous,EN,0.8999999761581421,NA,Massachusetts,25 to 34 years,Female,Slightly important,Slightly informed,Very informed,NA,3,3,3,3,3,3,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,Encountered bear from unsafe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Moderate,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],1qMkoHhWaU19zD2bvNXtLw,15954811,NA,NA,1,NA,National,{Invalid Expression},696
1950,21626521,5971677,42.812359,-70.891098,0,3020121,.55000001,0,.029999999,0,2023-05-30T08:21:45Z,2023-05-30T08:24:30Z,IP Address,66.31.164.248,100,165,TRUE,2023-05-30T08:24:31Z,R_8IASwNZblQycld7,NA,NA,NA,NA,42.813301,-70.881401,anonymous,EN,1,NA,Massachusetts,75 to 84 years,Male,Slightly important,Not informed at all,Not informed at all,NA,3,3,3,3,3,3,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Moderate,"Between $25,000 and $34,999",Qual37847-0505-GrizzlyBears-[BM],0wAkzd4qMPSzA22SzMnRH2,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2118,2839685,4897,42.337582,-71.07048,0,3021011,1,0,0,0,2023-05-30T08:44:08Z,2023-05-30T08:52:04Z,IP Address,73.219.85.19,100,476,TRUE,2023-05-30T08:52:05Z,R_1ig3AUFx8J6CLiZ,NA,NA,NA,NA,42.290298,-71.079803,anonymous,EN,1,NA,Massachusetts,25 to 34 years,Female,Very important,Not informed at all,Not informed at all,NA,1,1,1,1,1,1,Increase (more lenient) thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Moderate,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],5TqY8NyMop3IVmLsVYcC1w,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2140,2990748,53541,42.392159,-71.133995,0,3014274,.75,0,0,0,2023-05-30T08:35:06Z,2023-05-30T08:42:50Z,IP Address,24.60.30.169,100,463,TRUE,2023-05-30T08:42:51Z,R_3eyq8sT08GfjYai,NA,NA,NA,NA,42.364899,-71.098701,anonymous,EN,1,NA,Massachusetts,35 to 44 years,Female,Very important,Informed,Slightly informed,NA,5+,4,4,3,4,4,Decrease (more strict) thresholds,11 to 15 times,Agree,1 to 5 times,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Moderate,"Between $75,000 and $99,999",Qual37847-0505-GrizzlyBears-[BM],52yXpDLPkZjIjZInPv5Oe5,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2188,9634136,377673,42.204662,-70.957634,0,3034247,.5,0,0,.079999998,2023-05-30T11:12:18Z,2023-05-30T11:17:19Z,IP Address,73.38.213.85,100,301,TRUE,2023-05-30T11:17:20Z,R_pGEkTYpbypxnYhX,NA,NA,NA,NA,42.212299,-70.961899,anonymous,EN,1,NA,Massachusetts,75 to 84 years,Male,Important,Informed,Informed,NA,3,2,1,3,2,1,Do not change thresholds,1 to 5 times,Agree,1 to 5 times,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Liberal,"Between $25,000 and $34,999",Qual37847-0505-GrizzlyBears-[BM],0PultSJ45qsQlsUKmkJr6Z,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2189,9858679,922283,42.209782,-70.928177,0,3036261,.69999999,0,0,0,2023-05-30T08:58:59Z,2023-05-30T09:05:47Z,IP Address,75.68.192.41,100,408,TRUE,2023-05-30T09:05:48Z,R_W1lycTDqhMsAklX,NA,NA,NA,NA,42.212601,-70.915497,anonymous,EN,0.8999999761581421,NA,Massachusetts,60 to 64 years,Female,Important,Slightly informed,Not informed at all,NA,5+,3,1,Unlimited (never remove),3,1,Increase (more lenient) thresholds,6 to 10 times,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Associate degree,Conservative,"Between $65,000 and $74,999",Qual37847-0505-GrizzlyBears-[BM],3QanEYAMScgycDNxesNqO1,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2324,70568089,2907441,41.972378,-70.978775,0,3040841,.27000001,.029999999,.029999999,0,2023-05-31T15:38:55Z,2023-05-31T15:45:06Z,IP Address,73.253.90.19,100,370,TRUE,2023-05-31T15:45:06Z,R_1DZLXXN67XcWopi,NA,NA,NA,NA,41.977001,-70.971001,anonymous,EN,1,NA,Massachusetts,45 to 54 years,Male,Very important,Slightly informed,Slightly informed,NA,2,4,4,2,4,4,Increase (more lenient) thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Liberal,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],0uoZzmHa3yZmaP41U5cptO,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2360,247306868,34086223,41.882061,-70.631287,0,3071077,.22,.02,0,.02,2023-05-30T08:21:38Z,2023-05-30T09:46:14Z,IP Address,98.110.234.251,100,5076,TRUE,2023-05-30T09:46:15Z,R_3st6mJLXSJmvdf0,NA,NA,NA,NA,41.9137,-70.639297,anonymous,EN,1,NA,Massachusetts,85 years or more,Male,Slightly important,Not informed at all,Not informed at all,NA,5+,5+,2,Unlimited (never remove),1,1,Decrease (more strict) thresholds,6 to 10 times,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Moderate,"Between $65,000 and $74,999",Qual37847-0505-GrizzlyBears-[BM],0aBEEF10OAzPkhxZRQ1EDC,15954811,NA,NA,1,NA,National,{Invalid Expression},696
